timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1777518356.9933274,hit,Q2,Z1,area:Z1:conf=0.5,0.39577484130859375
1777518357.0434062,hit,Q1,Z1,count:Z1:conf=0.5,0.4153251647949219
1777518357.0944884,hit,Q5,Z2,confidence_dist:Z2:bins=10,0.4954338073730469
1777518357.1449594,hit,Q4,Z2,compare:density:Z2:Z4:conf=0.5,0.3948211669921875
1777518357.195766,hit,Q1,Z3,count:Z3:conf=0.7,0.4649162292480469
1777518357.2457888,hit,Q2,Z4,area:Z4:conf=0.7,0.5559921264648438
1777518357.2965188,hit,Q3,Z2,density:Z2:conf=0.0,0.6110668182373047
1777518357.3459384,hit,Q1,Z5,count:Z5:conf=0.0,0.423431396484375
1777518357.3963034,hit,Q1,Z1,count:Z1:conf=0.5,0.5896091461181641
1777518357.447119,hit,Q5,Z2,confidence_dist:Z2:bins=5,0.69427490234375
1777518357.4978402,hit,Q3,Z1,density:Z1:conf=0.0,0.40602684020996094
1777518357.5485852,hit,Q1,Z2,count:Z2:conf=0.0,0.377655029296875
1777518357.7051725,miss,Q4,Z2,compare:density:Z2:Z5:conf=0.5,106.63080215454102
1777518357.711352,hit,Q1,Z2,count:Z2:conf=0.7,0.3848075866699219
1777518357.7614803,hit,Q1,Z1,count:Z1:conf=0.5,0.3657341003417969
1777518357.8114834,hit,Q3,Z2,density:Z2:conf=0.7,0.5085468292236328
1777518357.8614461,hit,Q2,Z1,area:Z1:conf=0.5,0.3914833068847656
1777518358.0163763,miss,Q1,Z5,count:Z5:conf=0.7,104.93755340576172
1777518358.03441,hit,Q1,Z2,count:Z2:conf=0.7,0.3914833068847656
1777518358.0852935,hit,Q4,Z1,compare:density:Z1:Z3:conf=0.0,0.5354881286621094
1777518358.133969,hit,Q1,Z4,count:Z4:conf=0.5,0.37741661071777344
1777518358.1844053,hit,Q1,Z2,count:Z2:conf=0.7,0.3447532653808594
1777518358.2357256,hit,Q1,Z1,count:Z1:conf=0.7,0.6091594696044922
1777518358.286429,hit,Q1,Z3,count:Z3:conf=0.5,0.7224082946777344
1777518358.3380141,hit,Q4,Z1,compare:density:Z1:Z2:conf=0.7,0.8411407470703125
1777518358.3896716,hit,Q1,Z2,count:Z2:conf=0.7,1.0831356048583984
1777518358.4385748,hit,Q3,Z2,density:Z2:conf=0.5,0.4036426544189453
1777518358.4909918,hit,Q2,Z2,area:Z2:conf=0.5,1.3284683227539062
1777518358.5392933,hit,Q1,Z1,count:Z1:conf=0.5,0.32973289489746094
1777518358.5917974,hit,Q1,Z2,count:Z2:conf=0.7,0.7717609405517578
1777518358.742266,miss,Q4,Z2,compare:density:Z2:Z3:conf=0.0,101.17650032043457
1777518358.7485478,hit,Q2,Z1,area:Z1:conf=0.5,0.6930828094482422
1777518358.7995408,hit,Q2,Z2,area:Z2:conf=0.0,0.5288124084472656
1777518358.8504598,hit,Q1,Z3,count:Z3:conf=0.0,0.98419189453125
1777518358.9009213,hit,Q2,Z1,area:Z1:conf=0.5,0.7152557373046875
1777518358.9511364,hit,Q2,Z1,area:Z1:conf=0.7,0.5774497985839844
